SampleID,TestType,Result,Unit,test_date,Operator,Status
VIM-2026-00369,sterility,11.384,pH,2025-05-03,OP002,passed
VIM-2026-00370,sterility,10.602,EU/mL,2025-05-04,OP002,passed
VIM-2026-00371,bioburden,2.991,pass/fail,2025-05-04,OP002,failed
VIM-2026-00372,bioburden,3.326,pH,2025-05-04,OP002,passed
VIM-2026-00373,endotoxin,5.501,pass/fail,2025-05-05,OP004,pending
VIM-2026-00374,bioburden,7.041,EU/mL,2025-05-05,OP001,passed
VIM-2026-00375,pH,8.846,EU/mL,2025-05-05,OP003,pending
VIM-2026-00376,bioburden,5.48,CFU/mL,2025-05-06,OP005,passed
VIM-2026-00377,bioburden,6.744,pH,2025-05-06,OP003,passed
VIM-2026-00378,pH,,EU/mL,2025-05-06,OP003,passed
VIM-2026-00379,endotoxin,0.995,CFU/mL,2025-05-07,OP001,pending
VIM-2026-00380,pH,3.908,pH,2025-05-07,OP001,failed
VIM-2026-00381,bioburden,10.13,EU/mL,2025-05-07,OP001,passed
VIM-2026-00382,endotoxin,12.585,EU/mL,2025-05-08,OP002,passed
VIM-2026-00383,bioburden,7.408,pH,2025-05-08,OP004,pending
VIM-2026-00384,pH,7.684,pH,2025-05-08,OP002,passed
VIM-2026-00385,pH,1.947,pH,2025-05-09,OP004,failed
VIM-2026-00386,bioburden,6.54,EU/mL,2025-05-09,OP004,failed
VIM-2026-00387,sterility,,EU/mL,2025-05-09,OP003,passed
VIM-2026-00388,sterility,3.773,CFU/mL,2025-05-10,OP003,passed
VIM-2026-00389,pH,4.135,pass/fail,2025-05-10,OP004,passed
VIM-2026-00390,pH,5.593,pH,2025-05-10,OP004,passed
VIM-2026-00391,sterility,0.771,EU/mL,2025-05-11,OP002,pending
VIM-2026-00392,sterility,4.848,EU/mL,2025-05-11,OP002,passed
VIM-2026-00393,bioburden,3.355,pH,2025-05-11,OP003,pending
VIM-2026-00394,bioburden,4.921,pass/fail,2025-05-12,OP001,passed
VIM-2026-00395,sterility,2.117,pH,2025-05-12,OP004,pending
VIM-2026-00396,bioburden,12.522,pass/fail,2025-05-12,OP002,passed
VIM-2026-00397,bioburden,8.513,EU/mL,2025-05-13,OP003,passed
VIM-2026-00398,endotoxin,9.668,pass/fail,2025-05-13,OP002,passed
VIM-2026-00399,bioburden,11.154,CFU/mL,2025-05-13,OP004,failed
VIM-2026-00400,pH,7.229,EU/mL,2025-05-14,OP004,passed
VIM-2026-00401,bioburden,1.673,CFU/mL,2025-05-14,OP005,failed
VIM-2026-00402,bioburden,7.751,pH,2025-05-14,OP001,passed
VIM-2026-00403,sterility,8.422,pH,2025-05-15,OP005,passed
VIM-2026-00404,pH,10.563,pH,2025-05-15,OP003,passed
VIM-2026-00405,bioburden,6.327,pass/fail,2025-05-15,OP002,passed
VIM-2026-00406,bioburden,2.222,EU/mL,2025-05-16,OP003,passed
VIM-2026-00407,endotoxin,4.331,pH,2025-05-16,OP004,pending
VIM-2026-00408,bioburden,5.402,pH,2025-05-16,OP005,pending
VIM-2026-00409,bioburden,9.22,EU/mL,2025-05-17,OP005,pending
VIM-2026-00410,endotoxin,8.206,pH,2025-05-17,OP005,failed
VIM-2026-00411,sterility,5.307,CFU/mL,2025-05-17,OP003,passed
VIM-2026-00412,bioburden,13.818,EU/mL,2025-05-18,OP004,passed
VIM-2026-00413,endotoxin,8.678,EU/mL,2025-05-18,OP002,passed
VIM-2026-00414,pH,3.703,EU/mL,2025-05-18,OP002,failed
VIM-2026-00415,sterility,1.874,CFU/mL,2025-05-19,OP003,passed
VIM-2026-00416,pH,2.564,EU/mL,2025-05-19,OP005,passed
VIM-2026-00417,pH,3.82,CFU/mL,2025-05-19,OP001,passed
VIM-2026-00418,endotoxin,2.669,EU/mL,2025-05-20,OP003,passed
VIM-2026-00419,bioburden,3.019,pass/fail,2025-05-20,OP003,pending
VIM-2026-00420,endotoxin,4.349,pH,2025-05-20,OP004,failed
VIM-2026-00421,endotoxin,2.841,pass/fail,2025-05-21,OP002,passed
VIM-2026-00422,endotoxin,12.606,pH,2025-05-21,OP003,pending
VIM-2026-00423,endotoxin,1.583,CFU/mL,2025-05-21,OP003,passed
VIM-2026-00424,sterility,7.581,pass/fail,2025-05-22,OP005,passed
VIM-2026-00425,bioburden,6.04,EU/mL,2025-05-22,OP005,passed
VIM-2026-00426,pH,13.762,pH,2025-05-22,OP001,passed
VIM-2026-00427,pH,2.013,pH,2025-05-23,OP004,passed
VIM-2026-00428,bioburden,5.871,pass/fail,2025-05-23,OP001,pending
VIM-2026-00429,pH,13.588,CFU/mL,2025-05-23,OP005,passed
VIM-2026-00430,bioburden,12.184,pass/fail,2025-05-24,OP002,pending
VIM-2026-00431,pH,11.53,CFU/mL,2025-05-24,OP005,passed
VIM-2026-00432,endotoxin,3.982,CFU/mL,2025-05-24,OP004,passed
VIM-2026-00433,pH,2.807,pH,2025-05-25,OP005,passed
VIM-2026-00434,bioburden,,pass/fail,2025-05-25,OP004,passed
VIM-2026-00435,bioburden,13.047,pass/fail,2025-05-25,OP004,passed
VIM-2026-00436,bioburden,8.016,CFU/mL,2025-05-26,OP004,pending
VIM-2026-00437,bioburden,8.217,pass/fail,2025-05-26,OP004,passed
VIM-2026-00438,bioburden,4.28,EU/mL,2025-05-26,OP004,passed
VIM-2026-00439,sterility,10.888,EU/mL,2025-05-27,OP002,passed
VIM-2026-00440,sterility,3.025,pass/fail,2025-05-27,OP001,passed
VIM-2026-00441,pH,4.87,pass/fail,2025-05-27,OP003,passed
VIM-2026-00442,bioburden,6.243,CFU/mL,2025-05-28,OP001,passed
VIM-2026-00443,pH,7.353,EU/mL,2025-05-28,OP004,passed
VIM-2026-00444,bioburden,3.773,EU/mL,2025-05-28,OP002,passed
VIM-2026-00445,bioburden,2.05,pH,2025-05-29,OP005,passed
VIM-2026-00446,sterility,8.743,CFU/mL,2025-05-29,OP002,passed
VIM-2026-00447,sterility,,pH,2025-05-29,OP004,passed
VIM-2026-00448,endotoxin,8.347,EU/mL,2025-05-30,OP002,passed
VIM-2026-00449,sterility,2.584,CFU/mL,2025-05-30,OP002,pending
VIM-2026-00450,endotoxin,6.995,pass/fail,2025-05-30,OP004,passed
VIM-2026-00451,endotoxin,,CFU/mL,2025-05-31,OP002,passed
VIM-2026-00452,endotoxin,1.2,pass/fail,2025-05-31,OP003,passed
VIM-2026-00453,endotoxin,5.044,pass/fail,2025-05-31,OP003,pending
VIM-2026-00454,endotoxin,2.315,CFU/mL,2025-06-01,OP002,passed
VIM-2026-00455,pH,1.356,pass/fail,2025-06-01,OP005,passed
VIM-2026-00456,sterility,13.864,pH,2025-06-01,OP004,pending
VIM-2026-00457,endotoxin,4.852,EU/mL,2025-06-02,,passed
VIM-2026-00458,bioburden,11.433,pass/fail,2025-06-02,OP005,passed
VIM-2026-00459,sterility,3.938,pH,2025-06-02,OP002,passed
VIM-2026-00460,sterility,9.7,pass/fail,2025-06-03,OP005,passed
VIM-2026-00461,endotoxin,10.763,EU/mL,2025-06-03,OP001,pending
VIM-2026-00462,pH,8.541,pH,2025-06-03,OP003,failed
VIM-2026-00463,endotoxin,6.866,EU/mL,2025-06-04,OP002,passed
VIM-2026-00464,pH,6.06,EU/mL,2025-06-04,OP004,passed
VIM-2026-00465,bioburden,5.21,pH,2025-06-04,OP002,passed
VIM-2026-00466,sterility,13.049,pH,2025-06-05,OP004,passed
VIM-2026-00467,bioburden,11.713,pH,2025-06-05,OP002,failed
VIM-2026-00468,pH,13.528,CFU/mL,2025-06-05,OP005,passed
VIM-2026-00469,pH,2.178,pH,2025-06-06,OP005,passed
VIM-2026-00470,bioburden,10.367,pH,2025-06-06,,failed
VIM-2026-00471,pH,13.168,pH,2025-06-06,OP001,passed
VIM-2026-00472,bioburden,2.947,pH,2025-06-07,OP004,passed
VIM-2026-00473,sterility,1.398,pass/fail,2025-06-07,OP005,passed
VIM-2026-00474,bioburden,10.505,CFU/mL,2025-06-07,OP001,pending
VIM-2026-00475,sterility,8.255,EU/mL,2025-06-08,OP004,passed
VIM-2026-00476,bioburden,11.865,pH,2025-06-08,OP002,passed
VIM-2026-00477,pH,2.387,pass/fail,2025-06-08,OP001,passed
VIM-2026-00478,bioburden,11.236,pass/fail,2025-06-09,OP003,passed
VIM-2026-00479,pH,3.222,pass/fail,2025-06-09,OP001,failed
VIM-2026-00480,bioburden,2.709,EU/mL,2025-06-09,OP001,failed
VIM-2026-00481,bioburden,2.718,pH,2025-06-10,OP004,passed
VIM-2026-00482,endotoxin,11.497,CFU/mL,2025-06-10,OP002,passed
VIM-2026-00483,pH,9.48,CFU/mL,2025-06-10,OP003,passed
VIM-2026-00484,endotoxin,7.561,pass/fail,2025-06-11,OP005,passed
VIM-2026-00485,pH,5.344,EU/mL,2025-06-11,OP005,passed
VIM-2026-00486,endotoxin,12.342,EU/mL,2025-06-11,OP001,pending
VIM-2026-00487,sterility,5.798,EU/mL,2025-06-12,OP004,passed
VIM-2026-00488,bioburden,11.524,CFU/mL,2025-06-12,OP004,passed
VIM-2026-00489,pH,6.428,pass/fail,2025-06-12,OP005,passed
VIM-2026-00490,pH,5.589,pH,2025-06-13,,failed
VIM-2026-00491,bioburden,6.746,CFU/mL,2025-06-13,OP002,failed
VIM-2026-00492,pH,4.569,pass/fail,2025-06-13,OP003,pending
VIM-2026-00493,pH,10.593,pass/fail,2025-06-14,OP002,passed
VIM-2026-00494,endotoxin,7.287,pH,2025-06-14,OP005,passed
VIM-2026-00495,pH,3.635,pH,2025-06-14,OP002,pending
VIM-2026-00496,sterility,12.644,pH,2025-06-15,OP004,passed
VIM-2026-00497,sterility,5.683,EU/mL,2025-06-15,OP001,passed
VIM-2026-00498,bioburden,7.838,pH,2025-06-15,OP001,failed
VIM-2026-00499,pH,,pass/fail,2025-06-16,OP005,failed
VIM-2026-00500,bioburden,8.927,pH,2025-06-16,OP004,passed
